MEASURE,Measure,INDEX,Index type,SECTOR,Sector,INDUSTRY,Industry,REGION,Region,TSEST,Adjustment type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2015-Q4,Dec-15,122.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2016-Q1,Mar-16,123.4,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2016-Q2,Jun-16,123.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2016-Q3,Sep-16,124.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2016-Q4,Dec-16,125.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2017-Q1,Mar-17,125.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2017-Q2,Jun-17,126.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2017-Q3,Sep-17,127.4,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2017-Q4,Dec-17,127.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2018-Q1,Mar-18,128.4,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2018-Q2,Jun-18,128.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2018-Q3,Sep-18,130.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2018-Q4,Dec-18,130.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,4,South Australia,10,Original,Q,Quarterly,2019-Q1,Mar-19,131.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,5,Western Australia,10,Original,Q,Quarterly,2009-Q1,Mar-09,100.6,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,5,Western Australia,10,Original,Q,Quarterly,2009-Q2,Jun-09,101,,
