MEASURE,Measure,REGION,Region,INDEX,Index,TSEST,Adjustment Type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q1,Mar-10,95.6,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,96.5,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,96.9,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,97,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,98.1,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,99.4,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,99.6,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,99.8,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,100,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,100.5,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,101.6,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,101.9,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q1,Mar-13,102.4,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q2,Jun-13,103,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q3,Sep-13,104.2,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q4,Dec-13,104.9,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q1,Mar-14,105.6,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q2,Jun-14,106.4,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q3,Sep-14,106.9,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q4,Dec-14,107,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q1,Mar-15,107.1,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q2,Jun-15,107.7,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q3,Sep-15,108.1,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q4,Dec-15,108.6,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q1,Mar-16,107.9,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q2,Jun-16,108.2,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q3,Sep-16,108.6,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q4,Dec-16,109,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q1,Mar-17,109,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q2,Jun-17,109,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q3,Sep-17,109.5,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q4,Dec-17,109.9,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q1,Mar-18,110,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q2,Jun-18,110.2,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q3,Sep-18,110.8,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q4,Dec-18,111.3,,
1,Index Numbers,5,Perth,10001,All groups CPI,10,Original,Q,Quarterly,2019-Q1,Mar-19,111.2,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q1,Mar-09,92.5,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q2,Jun-09,93,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q3,Sep-09,94.1,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q4,Dec-09,94.7,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q1,Mar-10,95.4,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,95.8,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,96.8,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,96.9,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,98.2,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,99.1,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,99.9,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,100,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,100.3,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,99.9,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,100.6,,
1,Index Numbers,6,Hobart,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,101,,
